route_id,point_index,lat,lon,cum_distance_km,elevation_m_raw,elevation_m_smoothed,segment_length_m,delta_elevation_m,gradient_percent,cum_elevation_gain_m,cum_elevation_loss_m
manali_leh,155,32.49813902893413,77.07333629696821,41.27,3172.0,3163.0,294.3,0.0,0.0,3047.7,1788.2
manali_leh,156,32.49860882778955,77.07067954986617,41.524,3169.0,3161.8,254.6,0.0,0.0,3047.7,1788.2
manali_leh,157,32.49878628276618,77.06754804923948,41.819,3152.0,3163.6,294.3,0.0,0.0,3047.7,1788.2
manali_leh,158,32.49997476281871,77.06475824828298,42.112,3155.0,3164.2,293.1,0.0,0.0,3047.7,1788.2
manali_leh,159,32.50078919216558,77.0617395498794,42.409,3170.0,3165.8,297.2,0.0,0.0,3047.7,1788.2
manali_leh,160,32.50127447119586,77.05888112307737,42.682,3175.0,3172.2,273.4,6.4,2.34,3054.1,1788.2
manali_leh,161,32.50207672450297,77.05589849120284,42.976,3177.0,3181.0,293.6,8.8,3.0,3062.9,1788.2
manali_leh,162,32.50286946630335,77.05293581936075,43.267,3184.0,3189.2,291.5,8.2,2.81,3071.1,1788.2
manali_leh,163,32.50411485772108,77.05011246079033,43.566,3199.0,3198.4,298.8,9.2,3.08,3080.3,1788.2
manali_leh,164,32.50479738435959,77.04715620697166,43.854,3211.0,3209.0,287.4,10.6,3.69,3090.9,1788.2
manali_leh,165,32.50533056470942,77.044218533044,44.135,3221.0,3217.2,281.8,8.2,2.91,3099.1,1788.2
manali_leh,166,32.50453052099205,77.04140379242169,44.414,3230.0,3221.4,278.5,4.2,1.51,3103.3,1788.2
manali_leh,167,32.50494325294935,77.03834226139247,44.705,3225.0,3222.6,290.7,0.0,0.0,3103.3,1788.2
manali_leh,168,32.50611622436467,77.03550696585744,45.001,3220.0,3222.2,296.1,0.0,0.0,3103.3,1788.2
manali_leh,169,32.50793129429778,77.03324961589053,45.293,3217.0,3219.6,292.5,0.0,0.0,3103.3,1788.2
manali_leh,170,32.50872713124616,77.03037287888785,45.577,3219.0,3216.2,283.9,-3.4,-1.2,3103.3,1791.6
manali_leh,171,32.5089861874308,77.02720927242837,45.875,3217.0,3211.8,298.1,-4.4,-1.48,3103.3,1796.0
manali_leh,172,32.509882,77.02441635038713,46.155,3208.0,3206.4,280.2,-5.4,-1.93,3103.3,1801.4
manali_leh,173,32.51106044350073,77.02237518951152,46.387,3198.0,3197.8,232.0,-8.6,-3.71,3103.3,1810.0
manali_leh,174,32.51194301376049,77.01941877609333,46.681,3190.0,3192.0,294.1,-5.8,-1.97,3103.3,1815.8
manali_leh,175,32.51276736136525,77.01648073839854,46.972,3176.0,3184.2,290.3,-7.8,-2.69,3103.3,1823.6
manali_leh,176,32.51516900682281,77.01536061991189,47.259,3188.0,3174.2,287.0,-10.0,-3.48,3103.3,1833.6
